Scenario,n,smax,seed,Naive Gap (%),Naive Std,Naive Time (s),IP_Lagrangian Gap (%),IP_Lagrangian Std,IP_Lagrangian Time (s),Heuristic Gap (%),Heuristic Std,Heuristic Time (s),LP_Lagrangian Gap (%),LP_Lagrangian Std,LP_Lagrangian Time (s)
0,50,15,0,190.2558026,8.235224029,0.000663916,0,2.567763536,1.974411792,20.874,11.8,0.5,0,2.567763536,1.474775625
1,50,15,1,100.4182305,3.098440706,0.000232291,0,3.844234344,1.957758125,14.35,5.46,0.08,0,3.844234344,1.404335916
2,50,15,2,129.844748,9.161941568,0.000217792,0,5.046044725,1.878096291,13.34,20.47,0.09,0,5.046044725,1.400660375
3,50,30,0,98.87273071,9.568633213,0.000198875,0,3.549487385,1.197177542,10.701,0.87,0.02,0,3.549487385,1.005059459
4,50,30,1,68.11272224,1.493321391,0.0001565,0,9.569307569,1.132000709,68.14,18.77,0.02,0,9.569307569,0.951775375
5,50,30,2,54.14054463,7.228819084,0.000160833,0,4.729851088,1.1940925,55.7,32.49,0.07,0,4.729851088,0.978791917
6,50,50,0,1.98E+02,0,0.00014625,0,6.234355436,0.626341625,43.23,21.54,0.01,0,0,0.555808334
7,50,50,1,205.87234,0,0.000119334,0,6.235234664,0.612560667,28.23,33.32,0.01,0,0,0.529864417
8,50,50,2,201.3235,0,0.00013375,0,5.643526323,0.6644105,25.63,28.32,0.01,0,0,0.550158042
9,300,15,0,404.0270751,7.892541034,0.000929542,0,8.691819414,40.29164342,38.559,8.14,0.01,0,8.691819414,28.24304875
10,300,15,1,384.9278875,7.019394999,0.0009795,0,8.067364233,37.99472242,38.441,5.12,0.01,0,8.067364233,26.901
11,300,15,2,576.7784535,6.781866549,0.001100708,0,7.758377209,41.12936221,59.002,6.08,0.02,0,7.758377209,28.54935508
12,300,30,0,322.0632395,10.45280899,0.002265875,0,10.03438435,22.04962429,31.529,8.35,0.01,0,10.03438435,15.64206137
13,300,30,1,267.2779222,11.58316557,0.000689417,0,10.05072159,20.704322,26.459,11.12,0.01,0,10.05072159,13.77585825
14,300,30,2,243.9674706,8.67320546,0.000699875,0,12.43958372,20.95484992,24.035,9.53,0.01,0,12.43958372,15.02862367
15,300,50,0,128.5779161,14.22466859,0.000448209,0,8.28490662,15.21055213,13.028,10.76,0.02,0,8.28490662,10.219792
16,300,50,1,154.8306477,9.816902408,0.000397167,0,11.95313009,13.82712212,15.446,5.73,0.01,0,11.95313009,9.724485208
17,300,50,2,175.5574089,19.3908505,0.000431209,0,8.252736322,13.66019817,17.796,12.71,0.01,0,8.252736322,9.698832292
18,1000,15,0,640.925402,7.089070915,0.0078345,0,9.40563355,459.8890667,67.794,12.73,1.18,0,9.40563355,373.5688115
19,1000,15,1,741.4513148,7.618899733,0.00686275,0,10.97119027,482.0377206,78.916,11.63,1.34,0.962044458,11.29707723,453.1946703
20,1000,15,2,1278.976576,7.902103883,0.006883292,0,11.15865039,493.1280097,78.271,11.72,1.54,0.246020194,11.64353392,414.9927495
21,1000,30,0,531.1312551,11.21637159,0.011773125,0,12.7352411,267.2351204,54.504,8.97,0.79,0,12.7352411,227.3795231
22,1000,30,1,874.6265379,10.67789456,0.0074845,0,15.92283172,260.1770781,90.08,10.05,0.77,0,15.92283172,199.63208
23,1000,30,2,694.3862506,10.73700075,0.011101584,0,19.45790599,293.1820676,71.696,9.91,0.77,0,19.45790599,225.7733729
24,1000,50,0,384.2067624,16.95408701,0.007222625,0,14.38085719,167.6213924,38.493,16.52,0.05,0,14.38085719,122.6535391
25,1000,50,1,507.1252574,10.79399356,0.076896959,0,19.14165925,162.4719108,50.85,14.7,0.04,0,19.14165925,144.3734401
26,1000,50,2,586.9677704,11.13564051,0.007374583,0,25.52732161,180.181275,59.08,12.44,0.03,0,25.52732161,134.6426042
