participant,group
0,1
1,1
2,0
4,1
5,1
7,1
9,1
10,1
11,1
14,1
17,1
19,1
20,1
24,1
26,1
28,0
29,1
30,1
31,0
33,1
35,1
37,1
39,1
40,1
41,1
45,1
46,1
47,0
49,0
54,1
56,1
59,1
60,1
64,1
65,1
69,1
70,1
71,1
73,1
74,1
75,1
76,1
77,1
81,1
82,1
83,1
85,1
86,1
87,0
88,1
96,1
97,1
98,1
103,0
106,1
107,1
116,1
122,1
127,1
130,1
134,1
135,1
136,1
137,1
138,1
143,1
144,0
152,1
158,1
168,1
169,1
172,1
175,1
176,0
180,1
182,1
184,1
186,1
194,1
195,1
197,1
198,1
202,1
203,1
205,1
211,1
218,1
220,1
223,0
227,1
231,1
234,1
235,1
236,1
240,1
243,1
244,0
246,1
251,0
258,1
259,1
261,1
262,1
263,1
265,1
266,0
268,1
269,1
280,1
282,1
285,0
287,0
289,1
294,1
298,1
299,1
300,1
305,1
307,1
309,1
312,1
317,1
321,1
330,1
335,0
339,1
342,1
347,1
357,1
360,1
365,1
366,1
373,1
388,1
390,1
392,0
394,0
399,1
402,1
403,0
404,0
405,0
407,1
409,1
410,1
412,1
422,1
423,1
425,1
427,1
429,1
431,1
439,1
440,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
452,1
455,1
456,1
459,1
460,1
461,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
471,1
476,1
478,0
480,1
483,0
485,1
486,1
492,1
496,1
497,1
498,1
499,1
502,0
506,1
507,1
508,1
509,1
510,1
513,0
514,0
517,1
518,1
521,1
524,0
527,0
528,0
529,1
530,0
532,0
533,1
534,1
535,0
536,0
538,0
541,1
544,1
547,0
549,0
550,0
553,1
554,0
555,1
556,0
557,1
558,0
563,0
564,1
565,1
566,1
568,1
569,1
572,1
573,1
575,0
586,0
587,1
588,1
589,1
590,1
593,1
594,1
595,1
596,1
603,0
605,1
606,1
607,1
609,1
610,1
611,1
614,1
616,0
618,1
623,1
625,1
635,1
640,1
642,1
643,1
649,0
652,1
655,1
669,1
674,1
678,0
680,0
681,1
682,1
685,1
687,0
702,0
706,1
710,1
711,1
712,1
720,1
729,1
731,1
737,1
742,1
743,1
746,1
747,1
758,1
760,0
761,1
765,1
773,0
778,1
781,1
786,1
789,1
792,1
794,0
795,1
799,0
802,1
803,1
804,1
808,1
814,1
817,1
824,1
827,1
831,0
838,1
841,1
848,0
852,0
857,1
860,0
862,0
864,0
869,1
875,1
880,1
881,1
900,0
901,0
903,0
910,0
923,1
927,1
929,0
930,0
931,0
932,0
934,1
936,1
940,0
941,1
942,1
943,0
948,1
951,0
961,0
971,0
973,1
976,0
983,1
990,1
991,1
995,1
1006,1
1009,1
1012,1
1013,1
1015,1
1019,1
1020,0
1022,1
1031,1
1032,1
1038,1
1039,1
1042,1
1052,1
1055,1
1056,1
1059,0
1061,1
1071,1
1081,0
1082,1
1084,0
1089,1
1090,1
1091,1
1092,1
1094,1
1097,1
1105,1
1112,0
1113,0
1117,1
1127,1
1128,0
1131,1
1133,0
1136,0
1146,0
1147,0
1151,0
1155,0
1156,1
1158,0
1159,1
1163,0
1167,1
1169,0
1175,0
1176,1
1179,0
1180,1
1187,1
1192,1
1193,0
1194,1
1195,1
1201,1
1203,1
1205,1
1208,0
1211,1
1212,0
1216,0
1218,1
1223,1
1227,0
1234,1
1238,0
1247,0
1249,0
1253,0
1257,0
1258,0
1259,0
1260,0
1263,1
1268,0
1270,1
1273,0
1274,0
1281,1
1282,1
1290,1
1299,1
1300,0
1301,0
1303,0
1306,0
1312,1
1314,1
1315,1
1324,1
1326,1
1335,0
1338,1
1344,0
1347,1
1356,1
1367,1
1368,0
1369,0
1395,0
1398,0
1403,1
1416,1
1425,0
1431,0
1445,0
1447,0
1461,0
1464,0
1466,0
1471,0
1478,0
1486,0
1496,0
1500,1
1504,0
1508,1
1509,1
1511,0
1517,1
1522,0
1526,0
1533,1
1537,1
1566,0
1570,1
1578,1
1581,0
1591,0
1598,1
1608,1
1610,0
1628,1
1644,0
1650,1
1655,0
1671,1
1674,1
1685,1
1688,0
1714,0
1719,0
1720,0
1730,0
1743,1
1750,0
1755,1
1758,0
1762,0
1764,0
1773,1
1775,0
1791,0
1798,0
1799,0
1801,0
1812,0
1816,1
1829,1
1831,0
1839,0
1842,0
1844,1
1847,0
1858,1
1860,0
1869,1
1882,0
1883,0
1887,1
1912,1
1914,0
1927,0
1938,0
1945,0
1948,0
1955,0
1961,1
1962,0
1966,1
1968,1
1980,0
1990,1
2008,0
2013,1
2016,1
2022,1
2027,1
2035,0
2039,0
2049,1
2057,1
2062,0
2063,1
2070,0
2072,0
2078,0
2082,1
2090,0
2092,0
2096,1
2098,0
2099,0
2115,0
2132,1
2133,0
2136,0
2138,0
2140,1
2144,1
2159,1
2163,1
2169,0
2181,1
2190,0
2202,1
2207,0
2218,0
2222,1
2228,0
2239,0
2253,1
2284,0
2285,1
2298,0
2317,0
2320,0
2326,0
2331,0
2354,1
2365,0
2376,0
2385,0
2386,0
2389,1
2401,0
2409,1
2417,1
2425,0
2435,1
2436,0
2461,1
2465,1
2476,0
2477,1
2500,1
2503,1
2507,0
2510,1
2514,1
2567,1
2577,1
2579,1
2582,0
2607,1
2620,1
2625,1
2634,1
2639,1
2640,1
2650,1
2654,1
2663,0
2668,1
2694,1
2701,0
2708,0
2733,1
2738,1
2745,1
2759,0
2770,0
2790,0
2810,1
2813,0
2820,1
2831,0
2834,1
2862,0
2868,0
2877,0
2951,0
2965,1
2996,0
3038,0
3044,1
3045,0
3048,0
3052,0
3057,0
3066,0
3081,0
3082,1
3084,0
3104,0
3113,1
3117,0
3120,1
3141,1
3184,0
3194,1
3196,1
3236,1
3258,0
3261,0
3273,0
3310,0
3328,0
3354,0
3355,1
3359,0
3369,0
3373,1
3377,1
3415,1
3428,1
3447,1
3470,0
3481,1
3519,0
3526,1
3535,1
3536,0
3547,0
3566,1
3581,0
3604,1
3609,1
3636,1
3669,1
3671,0
3675,1
3687,0
3691,1
3695,1
3714,1
3726,1
3738,1
3744,1
3749,1
3760,1
3772,1
3776,1
3782,1
3784,1
3805,1
3827,1
3830,1
3832,1
3839,1
3853,1
3865,1
3877,1
3886,0
3897,1
3931,0
3937,1
3946,1
3949,1
3997,1
4050,0
4056,1
4075,1
4076,1
4114,1
4115,0
4118,0
4134,1
4144,0
4149,1
4171,0
4177,0
4189,0
4200,1
4206,1
4207,1
4214,1
4227,1
